implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
blaze,bcc61aee,draft-04-rmUniqueItems-invalid,1137500,843125,27235000,1332209,48344,0
blaze,bcc61aee,example-address-invalid,222667,106875,7850375,369416,15172,0
blaze,bcc61aee,example-address-valid,1039500,697458,8437792,352708,15644,0
blaze,bcc61aee,example-blogpost-invalid,1886875,1541708,27126416,501417,39400,0
blaze,bcc61aee,example-blogpost-valid,2569584,2249833,19878833,495042,27396,0
blaze,bcc61aee,example-calendar-invalid,1580083,1058375,28830125,512209,44408,0
blaze,bcc61aee,example-calendar-valid,2410000,1981042,15118667,616917,24192,0
blaze,bcc61aee,example-devicetype-invalid,785542,529750,17689167,640917,31172,0
blaze,bcc61aee,example-devicetype-valid,865959,673375,6284625,714000,13324,0
blaze,bcc61aee,example-health-record-invalid,2032583,1524042,34327541,574500,48564,0
blaze,bcc61aee,example-health-record-valid,3001000,2555084,23780458,591875,30972,0
blaze,bcc61aee,example-job-posting-invalid,817334,483750,18380375,310375,31744,0
blaze,bcc61aee,example-job-posting-valid,1596334,819916,9436583,366291,16720,0
blaze,bcc61aee,example-movie-invalid,910084,535209,22665625,329083,36092,0
blaze,bcc61aee,example-movie-valid,1434208,903375,10211750,390291,16828,0
blaze,bcc61aee,example-userprofile-invalid,938167,550958,20655041,323667,32660,0
blaze,bcc61aee,example-userprofile-valid,1483708,1333083,10229417,347792,16408,0
blaze,bcc61aee,fabric-mod,411291,298208,3150042,2543375,10192,0
blaze,bcc61aee,fabric-mod-invalid,209084,145916,4127000,2444750,10540,0
blaze,bcc61aee,geojson,6433417,5481208,153147542,9864416,254920,0
blaze,bcc61aee,geojson-invalid,3570208,2778709,150284959,9750875,254388,0
blaze,bcc61aee,gitpod-configuration,161875,110500,2530541,2582459,8468,0
blaze,bcc61aee,gitpod-configuration-invalid,116125,57334,2908792,2609084,8896,0
blaze,bcc61aee,importmap,37916,16750,1862708,298167,7888,0
blaze,bcc61aee,importmap-invalid,32875,9417,2372709,296875,8408,0
blaze,bcc61aee,jasmine,67167,52625,1138083,937458,6188,0
blaze,bcc61aee,jasmine-invalid,41250,18208,1395542,879000,6508,0
blaze,bcc61aee,jsck-complex-invalid,1347167,1040417,11125041,1423333,22120,0
blaze,bcc61aee,jsck-complex-valid,3247042,2779250,11986833,1420792,24016,0
